#noautoenter  下线回城
#runplayer    允许穿人
#runmon       允许穿怪
#nodiedropitem 死亡不掉东西
#noprotectnewer 不保护新手
#masktype(0)  地图摭罩
#pkprohibit   禁止PK
#pkallow      允许PK(不加PK值)
#nochangeequiplist 禁止切换装备选项
#noseeothers   看不到其他玩家
#nodropitem 禁止扔东西
#addcofingroup  杀怪加疲软值
#em(number) 杀怪倍数
#execallow 地图打怪扣体力值
#expmul(number) 人物最大经验倍数
#nointeract     屏蔽玩家名字,禁止聊天,禁止查看角色信息
#nomount 禁止坐骑
#lockaction 禁止攻击和使用技能

#[地图编号 地图编号  名字  脚本触发  配置字段(支持上述的功能)

#地表地图
#[kuafu vkf 跨服战 map.kuafu runmon,runplayer
[rs499     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs500    yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem

[rs501     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs502     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs503     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs504     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs505     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs506     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs507     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs508     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs509     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs510     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs511     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs512     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs513     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs514     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs515     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs516     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs517     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs518     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs519     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs520     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs521     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs522     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs523     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs524     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs525     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs526     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs527     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs528     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs529     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs530     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs531     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs532     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs533     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs534     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs535     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs536     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs537     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs538     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs539     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs540     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs541     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs542     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs543     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs544     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs545     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs546     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs547     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs548     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs549     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs550     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs551     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs552     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs553     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs554     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs555     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs556     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs557     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs558     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs559     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs560     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs561     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs562     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs563     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs564     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs565     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs566     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs567     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs568     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs569     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs570     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs571     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs572     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs573     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs574     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs575     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs576     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs577     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs578     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs579     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs580     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs581     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs582     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs583     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs584     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs585     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs586     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs587     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs588     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs589     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs590     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs591     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs592     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs593     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs594     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs595     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs596     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs597     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs598     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs599     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs600     jlfb     巨灵魔窟[副本]  map.raid_sexp5 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem

[rs601     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs602     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs603     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs604     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs605     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs606     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs607     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs608     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs609     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs610     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs611     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs612     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs613     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs614     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs615     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs616     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs617     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs618     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs619     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs620     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs621     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs622     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs623     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs624     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs625     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs626     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs627     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs628     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs629     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs630     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs631     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs632     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs633     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs634     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs635     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs636     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs637     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs638     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs639     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs640     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs641     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs642     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs643     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs644     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs645     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs646     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs647     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs648     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs649     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs650     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs651     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs652     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs653     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs654     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs655     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs656     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs657     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs658     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs659     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs660     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs661     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs662     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs663     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs664     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs665     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs666     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs667     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs668     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs669     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs670     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs671     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs672     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs673     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs674     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs675     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs676     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs677     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs678     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs679     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs680     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs681     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs682     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs683     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs684     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs685     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs686     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs687     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs688     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs689     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs690     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs691     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs692     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs693     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs694     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs695     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs696     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs697     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs698     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs699     hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs700    hdfb     混沌魔域[副本]  map.raid_sexp6 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem



[zzmt1   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt2   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt2   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt3   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt4   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt5   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt6   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt7   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt8   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt9     bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt10    bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt11    bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt12    bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
[zzmt13   bosstz 通天塔 map.zmt runmon,noautoenter,norelivestand,noprotectnewer,nodiedropitem,trigerenterleave
